text,label,source,source_text
"A significant move by U.S. President Donald Trump on Friday began the process of dismantling a retirement advice regulation that financial professionals from Wall Street to Wisconsin had opposed for the last six years. This pivotal Obama-era policy, known as the fiduciary rule, mandates that brokers and financial advisors prioritize the interests of retirement savers, limiting their potential to earn commissions and sell higher-fee financial products. Advocates from Wall Street contended that it could negatively impact consumers by increasing compliance costs and fees, ultimately leading them to abandon smaller clients and businesses that provide 401(k) plans. Trump’s executive action instructs the Labor Department to assess whether the rule should be modified or eliminated. Both sides of the debate are preparing to present their arguments, although the industry appears to have the upper hand, as Trump’s administration has indicated intentions to reduce regulations generally and has specifically criticized the fiduciary rule. The Chamber of Commerce, among several trade organizations that have initiated lawsuits to abolish the rule, expressed support for Trump’s directive. ""We look forward to swift action from the Department of Labor in putting this delay into effect and reevaluating matters of policy and law,"" the Chamber stated. Stocks of major banks with significant wealth management sectors surged on Friday, with Bank of America (BAC.N) climbing 2.5 percent, Morgan Stanley (MS.N) increasing by 5.5 percent, and Wells Fargo (WFC.N) rising over 2 percent. Insurance companies, which faced potential risks to their annuity product sales due to the rule, also experienced gains, as Prudential (PRU.N) went up 1.9 percent and Metlife (MET.N) improved by 1 percent. ""Everyone will be pleased that DOL’s rush to get it done before the administration change is set back,"" remarked Judi Carsrud, director of government relations for the National Association of Insurance Financial Advisors (NAIFA), which has opposed the rule for several years. NAIFA intends to advocate for a ""very straightforward"" solution, such as a ""legislative approach"" mandating that retirement account advisers act in their clients’ best interests – a standard Carsrud believes their members already uphold. The Obama administration had claimed that conflicted advice costs American families $17 billion annually, while the industry asserted that this figure was exaggerated. There is consensus, however, on the substantial costs firms would incur to comply with the new rule, with the Labor Department estimating total expenses could reach $31 billion over the next ten years. Banks have begun implementing changes, with Bank of America announcing this week that it would more transparently disclose fees charged to clients of its Merrill Lynch wealth management division. Bank of America Corp had already begun reducing ""transactional"" accounts that impose a commission on clients for each trade, opting instead for a flat fee tied to assets. Morgan Stanley (MS.N) has chosen to retain such accounts but is making adjustments to ensure that advisors can operate within the rule’s parameters by establishing new contracts, re-training advisors, and enhancing supervisory software. Swiss bank UBS (UBSN.VX) welcomed Trump’s directive and expressed support for a fiduciary rule under the Securities and Exchange Commission, which could encompass all advisors rather than just those focused on retirement. Wells Fargo stated it would continue collaborating with regulators to ensure elevated standards of care for investment clients. Other banking institutions either refrained from commenting or were unavailable for immediate responses. The adjustment process proved to be especially challenging for smaller financial advisors. Juli McNeely, who manages McNeely Financial Services in Spencer, Wisconsin, along with two associates, has invested between 45 and 60 hours weekly since December preparing for the rule. Their efforts have primarily centered around determining which clients from their rural area should transition to a flat fee for financial advice rather than commissions, in addition to developing new strategies.",0,synthetic_real,"From Wall Street to Wisconsin, brokers cheer Trump's order. NEW YORK (Reuters) - With a swipe of his pen, U.S. President Donald Trump on Friday started killing off a retirement advice rule that wealth managers from Wall Street to Wisconsin have spent the last six years lobbying against. A landmark policy from the Obama era, the so-called fiduciary rule requires brokers and financial advisers to act in the best interest of retirement savers. This restricts their ability to earn commissions and to sell some higher-fee products. Wall Street has argued it would harm consumers because it would raise compliance costs and therefore fees, and force them to get rid of Main Street clients and small businesses that offer 401(k) plans. Trump’s executive order asks the Labor Department to review whether the rule needs to be changed or dumped. Both supporters and opponents are girding to argue their case. But the industry has the edge, with Trump officials stating they were planning on rolling back regulation generally and criticizing the fiduciary rule in particular. The Chamber of Commerce, one of a number of trade groups which have filed lawsuits to kill the rule, cheered Trump’s order. “We look forward to swift action from the Department of Labor in putting this delay into effect and reevaluating matters of policy and law,” the Chamber said in a statement. Shares of banks with large wealth management divisions jumped on Friday with Bank of America (BAC.N) up 2.5 percent, Morgan Stanley (MS.N) 5.5 percent stronger and Wells Fargo (WFC.N) over 2 percent higher. Insurers, whose sales of annuity products were at risk from the rule, also rose, with shares of Prudential (PRU.N) up 1.9 percent and Metlife (MET.N) 1 percent stronger. “Everyone will be pleased that DOL’s rush to get it done before the administration change is set back,” said Judi Carsrud, director of government relations for the National Association of Insurance Financial Advisors (NAIFA), which has been fighting the rule for years. NAIFA plans to pursue a “very straightforward” fix such as a “legislative approach” that directs retirement account advisers to act in clients’ best interest – a standard that Carsrud believes the group’s members already meet. The Obama administration had said conflicted advice costs American families $17 billion a year but the industry has said that figure was inflated. No-one disputes the high cost that firms would have to pay to comply with the new rule, an amount the Labor Department estimates at as much as $31 billion over the next decade. Banks have already started changing things with Bank of America saying this week it would more clearly disclose the fees it charges clients of its Merrill Lynch wealth management business. Bank of America Corp had already started cutting back on “transactional” accounts that charge clients a commission for every trade, rather than a flat fee based on assets. Morgan Stanley (MS.N) has decided to keep such accounts but is making changes that will allow advisers to work within the rule’s confines by creating new contracts, re-training advisors and updating supervisory software. Swiss bank UBS UBSN.VX welcomed Trump’s order and said it supported the creation of a fiduciary rule under the Securities and Exchange Commission, which could apply to all advisers not just retirement advisers. Wells Fargo said it would continue to work with regulators to ensure higher standards of care for investment clients. Other banks either declined to comment or were not immediately available to comment. Implementing changes was particularly tough for small-time financial advisers. Along with two colleagues, Juli McNeely, who runs McNeely Financial Services in Spencer, Wisconsin has spent between 45 and 60 hours each week since December preparing for the rule. Their work has focused largely on figuring out which clients from their rural community should now pay a flat fee for financial advice, instead of commissions, and creating new templates for paperwork. “Now we have a little breathing room to make sure we do this right and not quickly to meet a deadline,” said McNeely, who voted for Trump, in part because of his pro-business stance. One person who has yet to comment on the retirement rule review is the person who will be at the center of it — Trump’s choice to head the Labor Department, Andy Puzder. Puzder, chief executive of fastfood group CKE Restaurants, has been a vocal opponent of what he has called “overregulation” during the Obama administration. The 401(k) plans he offers his own employees are less generous than some rivals, suggesting a more industry-friendly approach. While the Labor Secretary cannot unilaterally repeal a rule, his agency can rewrite and change a rule substantially or scrap it. William Galvin, the top securities regulator in Massachusetts, described Trump’s order as “reckless”. “My office will continue to protect small investors when those in Washington cave to big business.” Not all proponents of the rule were as pessimistic. “There’s no question that in the minds of industry lobbyist, delay is just a step toward repeal,” said Barbara Roper, investor protection director for the Consumer Federation of America (CFA). “If the Department of Labor follows an honest process and considers the impact on retirement savers, we have a winning argument.”"
"The resignation of former Prime Minister Saad al-Hariri has prompted Lebanese President Michel Aoun to reach out to diplomatic representatives for assistance, according to Al-Manar TV. As reported on Thursday, Aoun is engaging in discussions with ambassadors to seek clarification regarding the conditions that resulted in Hariri's departure, who has not yet returned to Lebanon, as stated by an official source to Reuters.",0,synthetic_real,"Lebanon president seeks diplomatic help on PM resignation: Al-Manar TV. BEIRUT (Reuters) - Lebanese President Michel Aoun is seeking help from diplomats to uncover the mystery surrounding ex-Prime Minister Saad al-Hariri s resignation, al-Manar TV reported on Thursday. Meetings with ambassadors aim to ask for help in clarifying the circumstances that led to the resignation of Hariri, who has yet to return to Lebanon, an official source told Reuters."
"On Wednesday, the highest court in the EU ruled against the Greek government's position regarding height requirements for police recruits. The European Court of Justice determined that imposing a uniform height standard discriminates against women. This decision stemmed from a case involving a woman whose application to the Greek police academy was denied in 2007 due to her height being below the 1.70-meter (5 feet 7 inches) minimum. The court noted that not all police responsibilities necessitate specific physical attributes, using traffic duty as an example. It further indicated that fitness assessments could be designed to be less biased towards women. Currently, women represent 13 percent of police personnel in Greece, compared to 18 percent in France, which eliminated a 1.60-meter requirement in 2010, and a notable 29 percent in England and Wales, which removed height restrictions for both genders 27 years ago. Before 1990, the minimum height for women to join the English police was set at 1.60 meters, which was 3 centimeters shorter than the requirement for men.",0,synthetic_real,"Greek police cut down to size: EU court rules for women. LUXEMBOURG (Reuters) - European police forces cannot impose blanket height restrictions on recruits because that discriminates against women, the EU s top court ruled on Wednesday, throwing out an argument from the Greek government. Athens had defended a minimum height requirement for entry to the Greek police academy of 1.70 meters (5 feet 7 inches) after a woman complained of sex discrimination when her application to join the force was rejected in 2007 because she was too short. But the European Court of Justice ruled that such a blanket restriction was not justified. It said some tasks in the police - it cited traffic duty - do not require special physical characteristics while even for those for which a physical aptitude is needed, tests could be less discriminatory against women. Women account for 13 percent of police officers in Greece. That compares to 18 percent in France, where a 1.60-metre rule was scrapped in 2010, and fully 29 percent in England and Wales, which abandoned minimum heights for both men and women 27 years ago. Until 1990, English women had to be at least 1.60 meters tall to join the police - 3 centimeters less than men."
"A Republican tax bill unveiled late Friday retains the $7,500 tax credit for electric vehicles, contrary to earlier suggestions from House Republicans to eliminate it. This decision aligns with the Senate's similar stance from last month, which also preserved the credit. The removal of this incentive could have negatively impacted manufacturers such as General Motors Co (GM.N), Volkswagen AG (VOWG_p.DE), Tesla Inc (TSLA.O), and Nissan Motor Co (7201.T). Currently, consumers can claim the $7,500 credit to help offset the expenses of purchasing plug-in electric vehicles. The credit begins to phase out once a manufacturer sells 200,000 plug-in vehicles. After reaching this sales milestone, the credit remains available for a minimum of three additional months before it gradually decreases. Electric vehicles tend to be more expensive than traditional gasoline cars due to their costly batteries. The Electric Drive Transportation Association expressed satisfaction on Friday regarding the credit's continuation, stating, ""The credit supports innovation and job creation while helping drivers access advanced vehicle technology."" Earlier in the week, over 50 automakers and organizations, including Ford Motor Co (F.N), BMW AG (BMWG.DE), GM, and Uber Technologies Inc, sent a letter to Congress advocating for the preservation of the credit. Former President Barack Obama had previously suggested increasing the electric vehicle tax credit to $10,000 and converting it into a point-of-sale rebate, but this proposal was not approved by Congress. Automakers are under pressure from California and numerous other states to manufacture more zero-emission vehicles, and they have indicated that these credits are crucial for compliance.",0,synthetic_real,"Republican tax bill retains U.S. electric vehicle tax credit. WASHINGTON (Reuters) - A compromise Republican tax bill released late Friday does not eliminate a $7,500 electric vehicle tax credit as Republicans in the U.S. House of Representatives had previously proposed. The measure follows the lead of the Senate version approved last month that did not eliminate the credit. Killing the credit could have hurt automakers like General Motors Co (GM.N), Volkswagen AG (VOWG_p.DE), Tesla Inc (TSLA.O) and Nissan Motor Co (7201.T). Consumers under current law are eligible for a $7,500 tax credit to defray the cost of plug-in electric vehicles. The electric vehicle tax credit starts to phase out after a manufacturer sells 200,000 plug-in vehicles. After an automaker hits that point, the $7,500 tax credit is still available for at least three more months before phasing out.  Consumers are currently allowed to take the credit on vehicles until the manufacturer hits 200,000 plug-in vehicles sold. Electric vehicles have expensive batteries that make them pricier than gasoline-powered vehicles. The Electric Drive Transportation Association said in a statement late Friday it was pleased the credit would remain in law. “The credit supports innovation and job creation while helping drivers access advanced vehicle technology,” the group said. More than 50 automakers and other companies and groups released a letter earlier this week urging Congress to retain the credit, including Ford Motor Co (F.N), BMW AG (BMWG.DE), GM, Uber Technologies Inc. Former President Barack Obama repeatedly proposed hiking the tax credit for electric vehicles to $10,000 and converting it to a point-of-sale rebate, but Congress did not approve the measure. Automakers face mandates from California and a dozen other states to produce a rising number of zero-emission vehicles and have said the credits are essential to meeting requirements."
"Instead of pursuing the governorship, U.S. Senator Susan Collins from Maine, a centrist Republican, announced her intent to continue serving in the Senate, where she can concentrate on healthcare reform. This year, Collins was notably one of the three Republican senators who voted against a bill aimed at repealing the Affordable Care Act, commonly referred to as Obamacare, a decision that displeased President Donald Trump. On Friday, Collins expressed that her position in the Senate would enable her to influence changes in the U.S. healthcare system effectively. Previously, in 2009, she, along with all Senate Republicans, voted against comprehensive healthcare legislation. Collins emphasized the necessity for immediate reforms but criticized the manner in which the repeal attempts were conducted over the summer. ""When we’re dealing with an issue that affects millions of Americans, we need to understand the consequences of what we are doing, not vote on bills in the middle of the night that have had no substantive hearings,"" said Collins, 64, while addressing business leaders in Rockland, located on Maine's midcoast. She advocated for urgent measures to stabilize insurance markets, including the establishment of high-risk pools. Furthermore, she proposed that employers should provide healthcare coverage only to those working at least 40 hours weekly, increasing the current requirement of 30 hours. For some time, Collins had been publicly considering a run to succeed Governor Paul LePage, a staunch conservative who has been in office since 2010, backed by the Tea Party movement. Due to state regulations, LePage cannot run for a third term. The contrasting political styles of Collins and LePage represent the two extremes of Maine's Republican Party. According to a veteran political analyst from Maine, Collins's independent stance enhances her influence in Washington. ""She is at the very center of virtually every big policy debate and big vote in the U.S. Senate,"" remarked Mark Brewer, a political science professor at the University of Maine. ""She remains an incredibly important player on any issue she wants to focus on."" Senate Majority Leader Mitch McConnell also praised her decision, stating, ""Her decision to remain in the Senate is important not only for the people of Maine, who she serves so well, but for the nation as a whole.""",0,synthetic_real,"Republican Collins will stay in U.S. Senate, focused on healthcare. (Reuters) - U.S. Senator Susan Collins of Maine, a moderate Republican who helped block her party’s efforts to repeal the Affordable Care Act this year, said she planned to remain in her current office rather than run for governor. The four-term incumbent attracted national attention this summer as one of three Republican senators who voted in July against a bill to repeal the law often called Obamacare, a move that angered U.S. President Donald Trump. She said on Friday that remaining in the Senate would allow her to use her powerful voice in reforming the U.S healthcare system. Collins, who like all Republicans in the Senate in 2009 voted against the sweeping healthcare legislation, said she believed urgent action was needed to improve it but criticized the way repeal efforts had been handled over the summer. “When we’re dealing with an issue that affects millions of Americans, we need to understand the consequences of what we are doing, not vote on bills in the middle of the night that have had no substantive hearings,” Collins, 64, told a group of business leaders in Rockland, a city on the state’s midcoast.  “We must stop allowing partisanship to be the pre-existing condition that prevents meaningful healthcare reform.” Urgent action is needed to stabilize the insurance markets, including creating high-risk pools, she said. She wants to require employers to offer healthcare coverage only to people who work 40 hours a week or more, raising the threshold from 30 hours. For weeks, Collins had flirted publicly with the idea of launching a bid to succeed Governor Paul LePage, a fiery conservative first elected in 2010 on a wave of support from the populist Tea Party movement. State laws forbid LePage from seeking a third term. Collins and LePage mark out the two poles of the state’s Republican Party. Collins’ independence makes her an increasingly powerful player in Washington, one veteran Maine political observer said. “She is at the very center of virtually every big policy debate and big vote in the U.S. Senate,” said Mark Brewer, professor of political science at the University of Maine. “She remains an incredibly important player on any issue she wants to focus on.” Senate Majority Leader Mitch McConnell welcomed the news: “Her decision to remain in the Senate is important not only for the people of Maine, who she serves so well, but for the nation as a whole.”"
"The recent Republican tax legislation introduced in the U.S. Congress may significantly impact the global supply chains of major multinational corporations by imposing a 20-percent levy on cross-border transactions between their affiliated business units. According to tax experts, European multinationals, which currently benefit from low U.S. tax liabilities on their American earnings due to existing treaties and the redirection of profits to their home nations or other low-tax areas, could face severe consequences if this tax is enacted. Some analysts noted that the proposal might conflict with international tax agreements, the World Trade Organization, and other global standards that prevent double taxation of profits, particularly if it disregards taxes already paid in other nations. The excise tax, embedded within the extensive 429-page bill endorsed by President Donald Trump, has caught corporate tax strategists off guard, prompting them to quickly analyze its implications and objectives, as well as the likelihood of Congressional approval. Seven multinational firms and four industry associations were approached by Reuters; however, none offered specific comments regarding the proposal, with most indicating they were still evaluating the overall tax package. This proposal is a component of a comprehensive tax reform initiative unveiled by House Republicans on Thursday that aims to reduce tax burdens and streamline the tax system. The fate of these proposed changes remains uncertain, as extensive discussions and lobbying efforts are anticipated in the coming weeks and possibly months. Critics have pointed out that the House proposal risks exacerbating the federal budget deficit and disproportionately benefiting wealthy individuals and large enterprises. Nonetheless, experts acknowledged that aspects of the corporate tax provisions, including the 20 percent excise tax, deserve further examination due to their ambitious nature. They indicated that this particular tax seeks to address abuses linked to transfer pricing, where multinationals determine the prices of goods, services, and intellectual property moving between their national branches. According to global standards, these prices should align with those found in open markets. However, if a foreign parent company inflates prices charged to its U.S. subsidiaries, it can diminish its U.S. tax obligations and effectively shift earnings to a jurisdiction with lower taxes, thereby lowering the overall tax burden for the entire corporation. Steven Rosenthal, a senior fellow at the Tax Policy Center, a nonpartisan think tank in Washington, remarked, “Clearly there’s a transfer-pricing issue and something should be done. I would view this 20-percent excise tax as a blunt instrument to address the problem. And the problem with blunt instruments is sometimes they hit what you want to hit, and sometimes they hit what you don’t want to hit.” Under the new proposal, U.S. business units that import goods, pay royalties, or incur other tax-deductible fees to foreign parents or affiliates during their operations would either be liable for a 20-percent tax on these transactions or agree to classify the amounts as income related to their U.S. business, subject to U.S. taxation. The proposed rule would apply only to companies with payments from U.S. units to foreign affiliates exceeding $100 million and would not take effect until after 2018. According to Michael Mundaca, co-director of the national tax department at Ernst & Young, European firms that distribute foreign-made goods in the U.S. through local channels may be particularly affected, potentially facing double taxation—first through the excise tax in the U.S. and again at home, where they currently pay taxes and where the new U.S. tax would not be recognized without amendments to bilateral tax treaties.",0,synthetic_real,"Multinationals grapple with Republican excise tax surprise. WASHINGTON/LONDON (Reuters) - The Republican tax bill unveiled last week in the U.S. Congress could disrupt the global supply chains of large, multinational companies by slapping a 20-percent tax on cross-border transactions they routinely make between related business units.   European multinationals, some of which currently pay little U.S. tax on U.S. profits thanks to tax treaties and diversion of U.S. earnings to their home countries or other low-tax jurisdictions, could be especially hard hit if the proposed tax becomes law, according to some tax experts. Others said the proposal could run afoul of international tax treaties, the World Trade Organization and other global standards that forbid the double taxation of profits if the new tax did not account for income taxes paid in other countries. The proposed tax, tucked deep in the 429-page bill backed by President Donald Trump, caught corporate tax strategists by surprise and sent them scrambling to understand its dynamics and goals, as well as whether Congress is likely ever to vote on it. Reuters contacted seven multinational companies and four industry groups. None would comment directly on the proposal, with most saying they were still studying the entire tax package. The proposal is part of a broad tax reform bill unveiled by House of Representatives Republicans on Thursday, which promises to lower overall tax burdens and simplify the tax code. Whether the proposed reforms ever become law is uncertain, with weeks and possibly months of debate and intense lobbying still ahead. The House package overall has drawn criticism for adding too much to the federal budget deficit and too heavily favoring the rich and big business. However, the corporate tax part, experts said, included some ambitious proposals worthy of further discussion. They said the 20 percent excise tax is one such proposal targeting the abuses of so-called transfer-pricing where multinationals themselves set prices of goods, services and intellectual property rights that constantly move between their national business units. Under global standards, those prices should resemble those available on the open market. However, if a foreign parent charges U.S. affiliates inflated price, it can reduce its U.S. tax bill and effectively shift profits to a lower-tax country, reducing the entire corporation’s overall tax costs. “Clearly there’s a transfer-pricing issue and something should be done,” said Steven Rosenthal, senior fellow at the Tax Policy Center, a nonpartisan Washington think tank. “I would view this 20-percent excise tax as a blunt instrument to address the problem. And the problem with blunt instruments is sometimes they hit what you want to hit, and sometimes they hit what you don’t want to hit,” said Rosenthal, former legislation counsel at Congress’s Joint Tax Committee. Under the proposal, U.S. business units that import products, pay royalties or other tax-deductible, non-interest fees to foreign parents or affiliates in the course of doing business would either pay a 20-percent tax on these or agree to treat the amounts as income connected to their U.S. business and subject to U.S. taxes. As proposed, the new tax rule would apply only to businesses with payments from U.S. units to foreign affiliates exceeding $100 million. The rule would not take effect until after 2018. European companies that sell foreign-made products into the U.S. market through local distribution units could be among those most affected, said Michael Mundaca, co-director of the national tax department at the accounting firm Ernst & Young. Such companies could end up paying tax on the transfers twice - first if they paid the excise tax in the United States and then at home where they are taxed now and where the new U.S. tax would not be accounted for without changes to bilateral tax treaties. “That would be a structure that would at least initially be hit by the full force” of the excise tax, said Mundaca, a former U.S. Treasury Department assistant secretary for tax policy. He said European officials would be registering concern. “I am sure they are making calls right now to their counterparts in the U.S. Treasury looking for some explanation ... and making the point that this might be contrary to treaty obligations.” Gavin Ekins, an economist at the Tax Foundation, a conservative think tank, predicted that most multinationals would opt to avoid the excise tax by electing to pay U.S. corporate tax on all the profits related to products sold in the United States. Those include profits on activities conducted overseas, like manufacturing or research, which are also subject to foreign income taxes. The U.S. corporate tax rate on those profits would drop to 20 percent from 35 percent if the House bill becomes law. The promise of additional revenue and hopes that the new tax may entice multinationals to locate more production and jobs in the United States, may well outweigh international concerns. The entire Republican tax package is projected to add $1.5 trillion over 10 years to the $20 trillion federal debt and the planned excise tax is among sources of new revenue needed to avoid an even bigger shortfall. It is expected to bring about $155 billion over 10 years, according to a summary of the Republican proposal distributed last week. Still, as the tax debate heats up, foreign multinationals are likely to lobby hard against it, with domestic corporations linked to foreign affiliates possibly concerned as well. There is also uncertainty how the new rules would work in practice.  It was unclear, for example, from the bill’s language how companies should calculate income “effectively connected” to their U.S. business, Tax Foundation’s Ekins said. “You don’t know what profit is included when you choose ‘effectively connected income’ and don’t know the formula,” he said. “Is it just for that product line? All the income that comes in from every other company or from every other source?” The House tax committee was scheduled to begin considering amendments to the Republican tax bill on Monday."
"On Monday, U.S. President Donald Trump announced plans to focus on reforms in healthcare, infrastructure, and welfare following the completion of the Republican tax overhaul, which the party aims to finalize by year’s end. Speaking to reporters at the White House before a meeting with his Cabinet officials, he stated, ""We’ll be submitting plans on healthcare, plans on infrastructure and plans on welfare reform, which is desperately needed in this country, soon after taxes.""",0,synthetic_real,"Trump: Healthcare, infrastructure, welfare reforms up next after taxes. WASHINGTON (Reuters) - U.S. President Donald Trump on Monday said he plans to take up  healthcare, infrastructure and welfare reform issues soon after Republicans’ tax overhaul is finalized, which the party has pledged to complete by the end of the year. “We’ll be submitting plans on healthcare, plans on  infrastructure and plans on welfare reform, which is desperately needed in this country, soon after taxes,” he told reporters at the White House ahead of a meeting with his Cabinet secretaries."
"NEW YORK (Reuters) - President Donald Trump announced on Thursday that the United States is set to impose additional sanctions on North Korea. The situation has become increasingly tense in recent weeks due to Pyongyang's missile and nuclear arms initiatives, despite significant pressure from global powers. In response to a question during a meeting with Afghan President Ashraf Ghani, Trump stated, ""We will be putting more sanctions on North Korea."" Regarding Afghanistan, he mentioned that the U.S. military is focusing more on leadership rather than combat.",0,synthetic_real,"Trump says will be putting more sanctions on North Korea. NEW YORK (Reuters) - President Donald Trump said on Thursday the United States would be adding more sanctions on North Korea. Tensions have escalated in recent weeks over Pyongyang s missile and nuclear weapons program, despite intense pressure from world powers.  We will be putting more sanctions on North Korea,  Trump said in response to a question at a meeting with Afghan president Ashraf Ghani. On Afghanistan, Trump said the U.S. military was doing more leading than fighting."
"At a recent Democratic National Committee fundraising event, President Barack Obama did not express a preference for any candidate in the Democratic presidential nomination race, according to White House spokesperson Josh Earnest, who spoke to the press on Thursday. This statement came in response to a report by the New York Times, which claimed that Obama had urged Democratic donors to support Hillary Clinton during the fundraiser held in Austin, Texas over the past weekend.",0,synthetic_real,"Obama did not indicate preference for Democratic candidate: White House. WASHINGTON (Reuters) - President Barack Obama did not specify a candidate preference in the race for the Democratic presidential nomination at a Democratic National Committee fundraising event, White House spokesman Josh Earnest told reporters on Thursday. Earnest was asked about a New York Times report that said Obama told Democratic donors to rally behind candidate Hillary Clinton during the fundraiser in Austin, Texas last weekend."
"On Thursday, during a meeting with officials from Myanmar in New York at the annual United Nations General Assembly, China’s Foreign Minister Wang Yi expressed support for the actions undertaken by Myanmar's government aimed at improving the conditions in Rakhine state. According to a statement from the Foreign Ministry, over 400,000 Muslim Rohingya have escaped from Rakhine into Bangladesh following a military offensive by Myanmar's army, initiated in response to militant assaults on security personnel. U.N. officials have characterized Myanmar's approach as ethnic cleansing.",0,synthetic_real,"China welcomes Myanmars efforts to alleviate situation in Rakhine. BEIJING (Reuters) - China s Foreign Minister Wang Yi said China welcomes the measures taken by Myanmar s government to alleviate the situation in Rakhine state.  Wang made the comments in New York on Thursday on during a meeting on the sidelines of the annual United Nations General Assembly with Myanmar officials, according to a Foreign Ministry statement. More than 400,000 Muslim Rohingya have fled from Rakhine across the border to Bangladesh following a counter-insurgency offensive by Myanmar s army in the wake of militant attacks on security forces. U.N. officials have described Myanmar s strategy as  ethnic cleansing ."
